States,County,Total Population,Hispanic Men,Hispanic Women,White Men,White Women,Black Men,Black Women,Native Men,Native Women,Asian Men,Asian Women,Pacific Men,Pacific Women,Others
California,Mendocino County,"87,497","10,624","10,753","28,822","28,849",273,279,"1,419","1,413",724,759,86,86,"3,410"
California,Merced County,"267,390","78,739","76,857","38,806","38,240","4,080","3,893",384,392,"9,808","9,736",191,182,"6,082"
California,Modoc County,"9,017",692,621,"3,619","3,412",32,30,182,173,48,44,4,4,156
California,Mono County,"14,058","2,035","1,775","4,888","4,398",28,25,160,149,150,128,0,0,322
California,Monterey County,"433,168","128,776","122,054","66,035","66,462","6,314","4,214",555,465,"12,100","12,023",986,936,"12,248"
California,Napa County,"141,005","23,642","23,852","37,463","37,503","1,430","1,415",193,187,"5,367","5,529",141,125,"4,158"
California,Nevada County,"98,838","4,512","4,581","41,566","42,803",276,255,316,350,526,542,42,45,"3,024"
California,Orange County,"3,155,816","538,159","540,382","640,633","665,152","24,248","24,865","3,157","3,189","302,465","312,668","4,219","4,248","92,431"
California,Placer County,"374,985","24,974","26,058","135,080","141,636","2,600","2,748",623,645,"12,342","13,155",252,282,"14,590"
California,Plumas County,"18,724",798,794,"7,874","7,763",75,79,170,167,69,73,26,26,810
California,Riverside County,"2,355,002","564,021","565,638","426,601","434,294","70,118","70,217","4,644","4,699","70,848","72,593","2,950","2,912","65,467"
California,Sacramento County,"1,495,400","167,025","173,283","332,243","351,603","70,505","71,652","2,765","2,785","110,289","115,244","7,686","7,944","82,376"
California,San Benito County,"58,671","17,237","17,316","10,354","10,513",217,210,84,87,770,787,46,42,"1,008"
California,San Bernardino County,"2,121,220","549,879","558,719","314,955","317,221","84,544","84,051","3,510","3,277","70,644","71,870","2,950","2,986","56,614"
California,San Diego County,"3,283,665","549,222","545,620","764,557","751,961","78,938","75,070","5,970","5,527","187,135","188,838","6,486","6,384","117,957"
California,San Francisco County,"864,263","68,464","63,264","181,148","171,687","22,317","21,435",737,650,"146,577","145,928","1,418","1,461","39,177"
California,San Joaquin County,"724,153","148,460","146,993","118,636","121,422","23,917","24,128",810,796,"52,480","54,213","1,839","1,878","28,581"
California,San Luis Obispo County,"280,119","31,507","30,624","97,661","96,644","3,326","1,579",616,572,"5,175","4,795",155,121,"7,344"
California,San Mateo County,"763,450","94,872","94,999","148,660","155,939","8,604","8,707",451,462,"102,215","105,201","5,251","5,247","32,842"
California,Santa Barbara County,"442,996","100,013","98,449","99,626","101,012","3,936","3,483",662,582,"11,448","11,452",253,221,"11,859"
California,Santa Clara County,"1,911,226","252,119","245,794","312,376","309,508","22,919","22,207","1,517","1,455","335,986","331,180","3,147","3,020","69,998"
California,Santa Cruz County,"273,263","45,909","45,136","77,865","80,061","1,057","1,091",211,205,"5,803","6,159",79,84,"9,603"
California,Shasta County,"178,919","8,419","8,750","70,580","73,299",931,982,"1,892","1,984","2,550","2,596",60,62,"6,814"
California,Sierra County,"2,885",150,141,"1,294","1,215",1,1,14,13,0,0,0,0,56
California,Siskiyou County,"43,530","2,622","2,581","16,702","16,867",321,327,627,622,347,331,54,64,"2,065"
